days,x,y,z,popval,m1,m2,m3,m4
1,6,0,2,1,0.818895502,0.818895502,0.818895502,0.818895502
1,6,0,3,1,0.857852506,0.857852506,0.857852506,0.857852506
1,6,1,0,1,0.811899768,0.811899768,0.811899768,0.811899768
1,6,1,1,1,0.807817553,0.807817553,0.807817553,0.807817553
1,6,1,2,1,0.874469281,0.874469281,0.874469281,0.874469281
1,6,1,3,1,0.848860897,0.848860897,0.848860897,0.848860897
1,6,2,0,1,0.816261174,0.816261174,0.816261174,0.816261174
1,6,2,1,1,0.899613472,0.899613472,0.899613472,0.899613472
1,6,2,2,1,0.829632081,0.829632081,0.829632081,0.829632081
1,6,2,3,1,0.873033086,0.873033086,0.873033086,0.873033086
1,6,3,0,1,0.8655098,0.8655098,0.8655098,0.8655098
1,6,3,1,1,0.853834244,0.853834244,0.853834244,0.853834244
1,6,3,2,1,0.854700889,0.854700889,0.854700889,0.854700889
1,6,3,3,1,0.892885414,0.892885414,0.892885414,0.892885414
1,6,4,0,1,0.867970268,0.867970268,0.867970268,0.867970268
1,6,4,1,1,0.882581698,0.882581698,0.882581698,0.882581698
1,6,4,2,1,0.845092371,0.845092371,0.845092371,0.845092371
1,6,4,3,1,0.802922028,0.802922028,0.802922028,0.802922028
1,6,5,0,1,0.827602508,0.827602508,0.827602508,0.827602508
1,6,5,1,1,0.815237802,0.815237802,0.815237802,0.815237802
1,6,5,2,1,0.3,0.5,0.7,0.6
1,6,5,3,1,0.3,0.5,0.7,0.6
1,6,6,0,1,0.875468668,0.875468668,0.875468668,0.875468668
1,6,6,1,1,0.3,0.5,0.7,0.6
1,6,6,2,0,0,0,0,0
1,6,6,3,0,0,0,0,0
1,6,7,0,1,0.870936483,0.870936483,0.870936483,0.870936483
1,6,7,1,1,0.3,0.5,0.7,0.6
1,6,7,2,0,0,0,0,0
1,6,7,3,0,0,0,0,0
1,7,0,0,1,0.869907672,0.869907672,0.869907672,0.869907672
1,7,0,1,1,0.839978265,0.839978265,0.839978265,0.839978265
1,7,0,2,1,0.877571268,0.877571268,0.877571268,0.877571268
1,7,0,3,1,0.862406009,0.862406009,0.862406009,0.862406009
1,7,1,0,1,0.850595705,0.850595705,0.850595705,0.850595705
1,7,1,1,1,0.808443585,0.808443585,0.808443585,0.808443585
1,7,1,2,1,0.892938597,0.892938597,0.892938597,0.892938597
1,7,1,3,1,0.848889774,0.848889774,0.848889774,0.848889774
1,7,2,0,1,0.825509512,0.825509512,0.825509512,0.825509512
1,7,2,1,1,0.886869471,0.886869471,0.886869471,0.886869471
1,7,2,2,1,0.808112577,0.808112577,0.808112577,0.808112577
1,7,2,3,1,0.823159439,0.823159439,0.823159439,0.823159439
1,7,3,0,1,0.875126706,0.875126706,0.875126706,0.875126706
1,7,3,1,1,0.881730322,0.881730322,0.881730322,0.881730322
1,7,3,2,1,0.878022744,0.878022744,0.878022744,0.878022744
1,7,3,3,1,0.852113583,0.852113583,0.852113583,0.852113583
1,7,4,0,1,0.822381194,0.822381194,0.822381194,0.822381194
1,7,4,1,1,0.877491046,0.877491046,0.877491046,0.877491046
1,7,4,2,1,0.862561856,0.862561856,0.862561856,0.862561856
1,7,4,3,1,0.854680572,0.854680572,0.854680572,0.854680572
1,7,5,0,1,0.858526775,0.858526775,0.858526775,0.858526775
1,7,5,1,1,0.800463422,0.800463422,0.800463422,0.800463422
1,7,5,2,1,0.3,0.5,0.7,0.6
1,7,5,3,1,0.3,0.5,0.7,0.6
1,7,6,0,1,0.834038573,0.834038573,0.834038573,0.834038573
1,7,6,1,1,0.3,0.5,0.7,0.6
1,7,6,2,0,0,0,0,0
1,7,6,3,0,0,0,0,0
1,7,7,0,1,0.895974396,0.895974396,0.895974396,0.895974396
1,7,7,1,1,0.3,0.5,0.7,0.6
1,7,7,2,0,0,0,0,0
1,7,7,3,0,0,0,0,0
2,0,0,0,1,0.854688152,0.854688152,0.854688152,0.854688152
2,0,0,1,1,0.825428218,0.825428218,0.825428218,0.825428218
2,0,0,2,1,0.813606856,0.813606856,0.813606856,0.813606856
2,0,0,3,1,0.879483142,0.879483142,0.879483142,0.879483142
2,0,1,0,1,0.827849822,0.827849822,0.827849822,0.827849822
2,0,1,1,1,0.884071726,0.884071726,0.884071726,0.884071726
